Date,Value
2/1/2019,41.547813
3/1/2019,45.774498
4/1/2019,48.357811
5/1/2019,42.188686
6/1/2019,47.878796
7/1/2019,51.536472
8/1/2019,50.496265
9/1/2019,54.386402
10/1/2019,60.406128
11/1/2019,64.896049
12/1/2019,71.520805
1/1/2020,75.383644
2/1/2020,66.579025
3/1/2020,62.081348
4/1/2020,71.72715
5/1/2020,77.620613
6/1/2020,89.30191
7/1/2020,104.048485
8/1/2020,126.354378
9/1/2020,113.604172
10/1/2020,106.786568
11/1/2020,116.782471
12/1/2020,130.387238
1/1/2021,129.669907
2/1/2021,119.155602
3/1/2021,120.209503
4/1/2021,129.371613
5/1/2021,122.630447
6/1/2021,135.013184
7/1/2021,143.786667
8/1/2021,149.671783
9/1/2021,139.697647
10/1/2021,147.891922
11/1/2021,163.194504
12/1/2021,175.564072
1/1/2022,172.805557
2/1/2022,163.254684
3/1/2022,172.857468
4/1/2022,156.067642
5/1/2022,147.3461
6/1/2022,135.5466
7/1/2022,161.11525
8/1/2022,155.870651
9/1/2022,137.204208
10/1/2022,152.235138
11/1/2022,146.963394
12/1/2022,129.207794
1/1/2023,143.487961
2/1/2023,146.590622
3/1/2023,164.23378
4/1/2023,168.994461
5/1/2023,176.53389
6/1/2023,193.453568
7/1/2023,195.926956
8/1/2023,187.369797
9/1/2023,170.984741
10/1/2023,170.545319
11/1/2023,189.700073
12/1/2023,192.529999
1/1/2024,192.419998
